VertexCount;EdgeCount;ComponentCount;MaxComponentSize;AverageDegree
500;1479;1;500;5.91600
499;1417;2;499;5.67936
498;1364;3;498;5.47791
497;1317;4;497;5.29980
496;1272;5;496;5.12903
495;1239;6;495;5.00606
494;1206;7;494;4.88259
493;1175;8;493;4.76673
492;1145;9;492;4.65447
491;1117;10;491;4.54990
490;1089;12;489;4.44490
489;1063;13;488;4.34765
488;1038;15;486;4.25410
487;1014;16;485;4.16427
486;990;17;484;4.07407
485;966;18;483;3.98351
484;944;19;482;3.90083
483;922;20;481;3.81781
482;901;23;477;3.73859
481;880;25;475;3.65904
480;860;27;473;3.58333
479;841;28;472;3.51148
478;823;29;471;3.44351
477;807;33;467;3.38365
476;791;35;465;3.32353
475;775;36;464;3.26316
474;760;39;460;3.20675
473;745;40;459;3.15011
472;731;41;458;3.09746
471;718;43;456;3.04883
470;706;48;450;3.00426
469;694;49;449;2.95949
468;683;51;447;2.91880
467;672;54;443;2.87794
466;661;55;442;2.83691
465;651;56;441;2.80000
464;641;57;440;2.76293
463;631;60;437;2.72570
462;622;63;434;2.69264
461;614;65;430;2.66377
460;606;69;426;2.63478
459;598;70;425;2.60566
458;590;73;420;2.57642
457;582;75;418;2.54705
456;574;76;417;2.51754
455;566;79;414;2.48791
454;558;81;411;2.45815
453;550;83;407;2.42826
452;542;84;406;2.39823
451;534;86;404;2.36807
450;527;88;402;2.34222
449;520;91;395;2.31626
448;513;92;394;2.29018
447;506;96;390;2.26398
446;499;100;386;2.23767
445;492;103;381;2.21124
444;485;105;378;2.18468
443;478;109;370;2.15801
442;471;112;366;2.13122
441;464;114;364;2.10431
440;458;116;362;2.08182
439;452;118;360;2.05923
438;446;120;358;2.03653
437;440;122;356;2.01373
436;434;125;353;1.99083
435;428;127;351;1.96782
434;422;130;336;1.94470
433;416;132;334;1.92148
432;410;136;330;1.89815
431;404;139;324;1.87471
430;398;142;320;1.85116
429;393;143;319;1.83217
428;388;148;314;1.81308
427;383;151;310;1.79391
426;378;153;308;1.77465
425;373;155;306;1.75529
424;368;158;303;1.73585
423;363;159;302;1.71631
422;358;161;297;1.69668
421;353;165;278;1.67696
420;348;169;263;1.65714
419;343;171;260;1.63723
418;338;175;236;1.61722
417;333;179;228;1.59712
416;328;182;222;1.57692
415;324;186;212;1.56145
414;320;189;187;1.54589
413;316;192;180;1.53027
412;312;196;170;1.51456
411;308;199;167;1.49878
410;304;203;167;1.48293
409;300;207;163;1.46699
408;296;210;142;1.45098
407;292;212;139;1.43489
406;288;216;120;1.41872
405;284;218;115;1.40247
404;280;222;81;1.38614
403;276;226;81;1.36973
402;272;229;81;1.35323
401;268;233;81;1.33666
400;264;237;81;1.32000
399;260;241;76;1.30326
398;256;245;48;1.28643
397;252;249;48;1.26952
396;249;252;48;1.25758
395;246;255;36;1.24557
394;243;258;36;1.23350
393;240;261;36;1.22137
392;237;264;36;1.20918
391;234;267;36;1.19693
390;231;270;36;1.18462
389;228;273;36;1.17224
388;225;276;36;1.15979
387;222;279;36;1.14729
386;219;282;25;1.13472
385;216;285;25;1.12208
384;213;288;25;1.10938
383;210;291;25;1.09661
382;207;294;25;1.08377
381;204;297;16;1.07087
380;201;300;16;1.05789
379;198;303;16;1.04485
378;195;306;16;1.03175
377;192;309;16;1.01857
376;189;312;16;1.00532
375;186;315;16;0.99200
374;183;317;16;0.97861
373;180;320;16;0.96515
372;177;323;16;0.95161
371;174;326;16;0.93801
370;171;329;16;0.92432
369;168;332;10;0.91057
368;165;335;10;0.89674
367;162;338;10;0.88283
366;159;341;10;0.86885
365;156;344;10;0.85479
364;153;347;10;0.84066
363;150;350;10;0.82645
362;148;352;9;0.81768
361;146;354;9;0.80886
360;144;356;9;0.80000
359;142;358;9;0.79109
358;140;360;9;0.78212
357;138;362;9;0.77311
356;136;364;9;0.76404
355;134;366;9;0.75493
354;132;368;9;0.74576
353;130;370;9;0.73654
352;128;372;9;0.72727
351;126;374;5;0.71795
350;124;376;5;0.70857
349;122;378;5;0.69914
348;120;380;5;0.68966
347;118;382;4;0.68012
346;116;384;4;0.67052
345;114;386;4;0.66087
344;112;388;4;0.65116
343;110;390;4;0.64140
342;108;392;4;0.63158
341;106;394;4;0.62170
340;104;396;4;0.61176
339;102;398;4;0.60177
338;100;400;4;0.59172
337;98;402;4;0.58160
336;96;404;4;0.57143
335;94;406;4;0.56119
334;92;408;4;0.55090
333;90;410;4;0.54054
332;88;412;4;0.53012
331;86;414;4;0.51964
330;84;416;4;0.50909
329;82;418;4;0.49848
328;80;420;4;0.48780
327;78;422;4;0.47706
326;76;424;4;0.46626
325;74;426;4;0.45538
324;72;428;4;0.44444
323;70;430;4;0.43344
322;68;432;3;0.42236
321;66;434;2;0.41121
320;65;435;2;0.40625
319;64;436;2;0.40125
318;63;437;2;0.39623
317;62;438;2;0.39117
316;61;439;2;0.38608
315;60;440;2;0.38095
314;59;441;2;0.37580
313;58;442;2;0.37061
312;57;443;2;0.36538
311;56;444;2;0.36013
310;55;445;2;0.35484
309;54;446;2;0.34951
308;53;447;2;0.34416
307;52;448;2;0.33876
306;51;449;2;0.33333
305;50;450;2;0.32787
304;49;451;2;0.32237
303;48;452;2;0.31683
302;47;453;2;0.31126
301;46;454;2;0.30565
300;45;455;2;0.30000
299;44;456;2;0.29431
298;43;457;2;0.28859
297;42;458;2;0.28283
296;41;459;2;0.27703
295;40;460;2;0.27119
294;39;461;2;0.26531
293;38;462;2;0.25939
292;37;463;2;0.25342
291;36;464;2;0.24742
290;35;465;2;0.24138
289;34;466;2;0.23529
288;33;467;2;0.22917
287;32;468;2;0.22300
286;31;469;2;0.21678
285;30;470;2;0.21053
284;29;471;2;0.20423
283;28;472;2;0.19788
282;27;473;2;0.19149
281;26;474;2;0.18505
280;25;475;2;0.17857
279;24;476;2;0.17204
278;23;477;2;0.16547
277;22;478;2;0.15884
276;21;479;2;0.15217
275;20;480;2;0.14545
274;19;481;2;0.13869
273;18;482;2;0.13187
272;17;483;2;0.12500
271;16;484;2;0.11808
270;15;485;2;0.11111
269;14;486;2;0.10409
268;13;487;2;0.09701
267;12;488;2;0.08989
266;11;489;2;0.08271
265;10;490;2;0.07547
264;9;491;2;0.06818
263;8;492;2;0.06084
262;7;493;2;0.05344
261;6;494;2;0.04598
260;5;495;2;0.03846
259;4;496;2;0.03089
258;3;497;2;0.02326
257;2;498;2;0.01556
256;1;499;2;0.00781
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
255;0;500;1;0.00000
